Date;PM10_CREI;RR_Cre;TN_Cre;TX_Cre;TM_Cre;PMERM_Cre;FFM_Cre;UM_Cre;GLOT_Cre;DXY_Cre_cat
01/01/2010;26.3;0;-2.1;0.6;-0.9;1002.6;;84;91;
02/01/2010;24.8;0;-4.2;2.2;-1.1;1018.3;;91;327;
03/01/2010;36.3;0;-5.5;1.2;-3;1021.4;;91;237;
04/01/2010;43;0;-10.3;-2.7;-6;1018.5;;88;511;
05/01/2010;44.9;0;-6.9;0.3;-3.4;1007.5;;84;440;
06/01/2010;49;0;-7.8;-2.8;-4.6;1003.6;;88;154;
07/01/2010;67.5;0;-9.4;-1.9;-6.5;1010.1;;86;571;
08/01/2010;67;0;-11;-3;-6;1016.7;;85;269;
09/01/2010;27.6;0;-3.9;-1.4;-2.5;1014.5;;85;117;
10/01/2010;37;0;-1.8;-0.8;-1.5;1015.1;;89;140;
11/01/2010;60;0;-2.6;0.2;-1.2;1018.6;;88;263;
12/01/2010;67;0.6;-1.5;0.1;-0.7;1010;2.6;86;161;SE
13/01/2010;40.8;0.8;-2.2;3.9;0.8;1001.9;2.2;93;120;SE
14/01/2010;32.2;0;0.3;5.3;1.7;1005.3;2.2;93;368;NE
15/01/2010;34.2;0;-1.8;2.9;1.4;1021.3;1.7;95;114;SE
16/01/2010;20;9;1.8;8.6;3.9;1012.3;4.8;93;96;SE
17/01/2010;21.3;0;4.4;9.5;6.1;1019.4;4.7;87;455;SO
18/01/2010;19.5;0;-0.8;3.9;2.6;1027.5;1.7;96;160;SO
19/01/2010;14.2;0;0.3;2.1;1;1022.3;2.7;97;207;NE
20/01/2010;23.2;9.2;-0.6;5;1.5;1012.4;3;96;89;SE
21/01/2010;30.1;0;1.4;5.1;3;1021;1.9;91;107;SO
22/01/2010;27.7;0;0.9;8.1;4.8;1022.3;2.9;87;410;SE
23/01/2010;33.9;3.2;2.5;3.8;3.1;1020.9;1.5;90;194;SE
24/01/2010;37.8;0.4;2.2;5.4;3.3;1023.4;1.1;94;93;NO
25/01/2010;;0;-0.7;6;1.8;1029.7;2;90;522;NE
26/01/2010;;0;-2.8;-0.7;-1.8;1036.4;4.7;84;171;NE
27/01/2010;;0.2;-7.2;4.1;-2.2;1029.9;3.2;77;659;SO
28/01/2010;;2.6;0.1;5.3;3.3;1012.2;2.7;90;268;NO
29/01/2010;;6.2;1.5;5.7;2.9;993.4;5.5;91;96;NO
30/01/2010;;0;-2.4;2.5;-0.8;1000.2;3.1;85;574;NO
31/01/2010;;0;-5.2;3.8;-0.1;1008.3;3.3;82;642;SO
01/02/2010;;0.6;-0.7;4.9;1;1015;3.5;83;612;NO
02/02/2010;;9.2;-1.6;7.3;3.8;1012.8;6.5;91;139;SO
03/02/2010;;4.4;5.4;9.2;7.5;1011.6;4.4;89;256;SO
04/02/2010;;9;5.1;9.9;6.7;1009.2;3.4;79;564;SE
05/02/2010;;5.2;4.8;11.4;7.5;1004.8;4.1;83;473;SO
06/02/2010;;0.6;4.7;6.1;5.2;1011.5;3.5;91;223;NO
07/02/2010;;0;2.3;5.1;3.3;1020.3;1.6;90;345;NO
08/02/2010;;0.6;0.7;2.9;1.4;1008.2;1.8;92;116;NO
09/02/2010;;0;-3.4;-1.4;-2.3;1007.2;5.3;85;213;NO
10/02/2010;;0.2;-6.3;1.8;-2.8;1011.4;3.5;85;363;NE
11/02/2010;;0;-4.8;-1.5;-3;1014.2;6.4;84;336;NE
12/02/2010;38;0;-5.4;-0.2;-3.7;1019.2;4.6;82;743;NE
13/02/2010;32.3;0;-6.3;-2.4;-3.3;1019.1;3.2;82;205;NE
14/02/2010;28.5;0;-6.8;2.7;-1.4;1015.6;2;78;853;SO
15/02/2010;38;0;-2.6;1.7;-0.7;1007.9;2.6;83;345;SO
16/02/2010;43.3;0;-4.5;3.8;-1;999.5;2.8;74;1050;SE
17/02/2010;75.9;0.8;-6.2;3.4;0.4;991.7;1.1;93;298;SO
18/02/2010;34.5;0;1.1;10.2;4.9;995;4.8;86;559;SO
19/02/2010;22.6;0;2.4;7.6;3.7;996.3;3.9;76;660;SO
20/02/2010;19.8;0.4;-1;6.6;2.5;1000.2;3.4;82;717;SO
21/02/2010;19.8;0.4;-0.3;7.1;3.6;997.6;3.3;86;468;SE
22/02/2010;14.9;5.8;4.3;13.4;9.3;988.1;6.9;78;330;SO
23/02/2010;;3.2;8.7;13.1;9.6;992.3;4.4;89;411;SO
24/02/2010;;6.6;5.4;12;8.3;995.9;5.8;86;586;SO
25/02/2010;17.6;7.6;8.2;10.7;9.4;992.2;5.5;87;323;SO
26/02/2010;16.4;1.8;5.9;10.5;7.6;995.6;7.3;73;796;SO
27/02/2010;18.7;11;3.9;13.3;8.1;997.1;5.2;72;906;SO
28/02/2010;11.4;4.4;5;11.2;7.1;989.7;8.7;87;228;SO
01/03/2010;24.3;0.4;1.3;10.5;6;1012.3;2.6;73;1130;SO
02/03/2010;28.8;0;1.8;10.4;5.4;1021.7;2.9;69;1370;NO
03/03/2010;33.3;0;1.1;9.2;4.3;1017.3;5;60;1055;NE
04/03/2010;26;0;0.3;7.1;2.9;1019.6;5.6;64;1339;NE
05/03/2010;31.6;0;-4.2;5.6;0.8;1028.7;2;75;1147;NO
06/03/2010;30.9;0;-0.6;5.2;2;1024.5;5.1;69;736;NO
07/03/2010;22.4;0;-3.9;4.1;-0.5;1027.8;6.3;57;1494;NE
08/03/2010;26.2;0;-4.2;6;0.1;1024.4;5.7;62;1527;NE
09/03/2010;46.5;0;-3.6;4.1;-0.1;1024.2;5.8;63;1548;NE
10/03/2010;44.5;0;-3.7;8.4;1.9;1020.7;6.8;57;1520;NE
11/03/2010;51.6;0;-1.6;5.7;0.8;1020.1;5.1;75;1377;NE
12/03/2010;45.5;0;-4.4;6.3;2.2;1022.1;1;77;739;NO
13/03/2010;36;0;2.3;6.8;4.5;1028.9;2.1;78;362;NE
14/03/2010;22.8;0;3;9.4;5.5;1028.6;3.1;72;536;NO
15/03/2010;24.6;0;0.6;12.6;6.6;1027.8;3;72;1195;NO
16/03/2010;40.5;0;0.3;13.1;6.2;1027.3;1.7;67;1343;NO
17/03/2010;47;0;2.4;16.8;9.5;1025.2;2.7;52;1328;SO
18/03/2010;54.3;0;2.7;19.2;12.3;1019.9;3.6;47;1140;SO
19/03/2010;32.3;5.4;10.7;18.4;14.7;1015.9;4.6;67;929;SO
20/03/2010;25.8;23.4;12.2;17.6;14.1;1010.5;5.6;85;718;SO
21/03/2010;21.1;0;8.2;10.2;8.6;1018.2;4.5;86;265;SO
22/03/2010;37.2;0;1.1;15.5;8.6;1021.3;2.2;76;1558;SO
23/03/2010;40.8;0;5;16.1;10.8;1017.6;2.1;72;1633;SE
24/03/2010;43.5;0;6.6;19.6;14;1007.7;3.6;62;1325;SE
25/03/2010;23.3;3.8;11.2;17.8;12.9;1003.8;4.3;71;816;SO
26/03/2010;13.9;1.8;7.4;13;9.9;1007.1;5.2;73;956;SO
27/03/2010;14.7;0;6.2;11.5;8.7;1008;3.8;82;523;SO
28/03/2010;16.5;2.4;8;12.2;10.1;1011.5;4.2;88;557;SO
29/03/2010;18.9;1.8;10.2;16.9;12.8;1002.5;4.1;79;1343;SO
30/03/2010;16.9;4.8;3.5;12.9;8.9;994.8;5.4;79;839;SO
31/03/2010;14.5;2.8;4.1;10.9;6.2;1001.3;8.4;72;1417;SO
01/04/2010;17;0;2.5;11.5;6.1;1012.8;5.1;61;1772;SO
02/04/2010;17.5;5.8;3.5;10.9;6.6;1009.3;4.5;80;708;SE
03/04/2010;14.6;4.2;5.5;11.1;8.1;1004.9;5;84;815;SE
04/04/2010;12.5;3.4;5.3;11.9;6.8;1013.6;6.1;78;994;SO
05/04/2010;18.7;0;1;13;6.9;1026.7;2.3;71;1185;SO
06/04/2010;25;0;1.8;17.9;10.4;1018.6;3.2;62;2114;SE
07/04/2010;38;9.6;4.4;17.2;10.9;1017.6;2.3;76;1076;SO
08/04/2010;27.3;0;7.6;12.8;9.2;1028.5;4;79;990;NE
09/04/2010;35.2;0;1.2;16.5;9.4;1032.7;3.1;69;2146;NE
10/04/2010;32.2;0;6.5;14.4;9.9;1030;4.5;72;2071;NE
11/04/2010;21;0;3;12.1;7.4;1023.9;5.7;71;1606;NE
12/04/2010;34.3;0;2;13.6;7.8;1020;5.5;74;1498;NE
13/04/2010;43.6;0;6.6;16.9;10.7;1017.3;5;68;1578;NE
14/04/2010;48.9;0.2;5.1;14.7;8.9;1017.1;4.7;75;1603;NE
15/04/2010;50.1;0;3.1;15.8;10;1018.4;4.4;68;1889;NE
16/04/2010;33;0;4.2;13.4;8.1;1023.2;5.4;71;2155;NO
17/04/2010;46.2;0;0.5;17.5;9.4;1019.8;2.1;64;2350;NE
18/04/2010;46.9;0;1.2;20.4;11.5;1014.2;1.4;59;2334;NO
19/04/2010;60.2;0;3.2;18.5;11.2;1016;1.8;57;2306;NO
20/04/2010;45.7;0;3.4;15.6;9.6;1018.1;2.4;62;2281;NO
21/04/2010;28.2;0;-0.6;15.2;8.3;1019.1;2.2;61;2246;NO
22/04/2010;29.5;0;0.5;14.6;8;1016.1;3.5;56;2269;NE
23/04/2010;39;0;1.2;18.2;10.1;1014.9;2.8;55;2495;NE
24/04/2010;39;0;2.9;22.8;13.2;1018.1;1.2;50;2456;SO
25/04/2010;24.7;0;6.6;21.2;14.5;1021.9;2.4;62;1849;SO
26/04/2010;17.3;0;6.2;16;11.1;1027.4;2.4;79;1262;SO
27/04/2010;17.8;0;3.3;20.1;12.6;1027.7;1.3;70;2376;NE
28/04/2010;28.7;0;4.7;24.8;16.6;1021.4;2.2;57;2318;SE
29/04/2010;31.4;0;10.8;26.8;19.6;1011.4;3.4;54;1935;SO
30/04/2010;14;0;11.5;17.2;12.9;1012.8;3.1;68;1369;SO
01/05/2010;14;0.8;5.8;16.8;11.5;1011.8;2.1;76;1299;NO
02/05/2010;6;4.2;8.8;15.8;10.6;1009.3;4;77;1844;SO
03/05/2010;11.2;0.4;5.3;8.9;6.6;1017.1;5.5;81;503;NO
04/05/2010;21;0;4.7;11.8;7.8;1020.9;6.9;67;1839;NE
05/05/2010;21.1;0;2.6;12.2;7.8;1015.8;6.7;68;2060;NO
06/05/2010;24.5;0;3.6;15;8.7;1008.5;4.7;67;1906;NO
07/05/2010;26;0;3.6;13.9;8.5;1008.7;3.1;69;1762;NE
08/05/2010;22.2;0;2.3;16.3;10.1;1009.6;2.4;68;2296;NE
09/05/2010;32.3;0;7.5;16.7;11.5;1008.5;3.8;72;1774;NE
10/05/2010;34.9;6.2;6.9;15.2;10.4;1007.9;4.9;77;1542;NE
11/05/2010;27.8;4.2;5.3;7.2;5.7;1008.3;4.7;91;341;NE
12/05/2010;22;0;4.3;9.7;6.5;1012.8;2.8;83;944;NE
13/05/2010;16.6;0.2;3.7;10.3;7;1014.2;2.3;82;910;NO
14/05/2010;27.9;0;5.5;12.4;8.9;1013;1.1;74;1074;NO
15/05/2010;26.5;0;3.1;15.9;9.8;1015.3;2.3;62;2156;NE
16/05/2010;19.2;0.2;4.5;17.6;11.8;1019;3.7;65;2253;SO
17/05/2010;15.6;1;9.2;17.7;12.3;1024.5;3.2;68;1723;NO
18/05/2010;20.8;0;2.3;18.3;11.2;1028.7;1.6;67;2324;NO
19/05/2010;23.9;0;3.8;19.3;12.5;1029.9;2.4;57;2901;NO
20/05/2010;26.8;0;3.7;21.2;14.1;1031.1;2.9;67;2754;NO
21/05/2010;34.6;0;9.4;22.5;16.3;1029.1;3.6;69;2696;NO
22/05/2010;24;0.2;9.3;23.1;16.5;1025.9;3.8;63;2723;NE
23/05/2010;24.5;0;8.9;25.8;18;1021.9;2.3;67;2863;NE
24/05/2010;16.7;0;10.2;28.9;20.9;1014.3;1.4;60;2879;SO
25/05/2010;25.4;16.6;11.4;28.3;18.8;1009.3;1.6;77;1917;SO
26/05/2010;22;0.6;12.3;20.6;14.8;1007.3;4;88;1081;SO
27/05/2010;32.6;5.8;10.8;17.5;13.6;1009.7;1.3;89;869;NO
28/05/2010;20.6;0;8;19.1;13.3;1016.4;2.1;68;2655;NO
29/05/2010;16.4;2.8;7;18.2;14.1;1015.4;4.6;75;1418;SO
30/05/2010;10.3;0.2;11.4;18;14.1;1013.1;5.6;80;1256;SO
31/05/2010;13.3;0;7.6;15.3;12.3;1018.6;3.5;79;1377;NO
01/06/2010;21.3;2.8;8.5;16.1;12.6;1016.9;1.6;87;845;SE
02/06/2010;31.4;0;11;21.2;15.4;1019.4;3.7;73;2576;NE
03/06/2010;22.5;0;8.6;23.5;16.7;1019.7;3.1;66;2997;NE
04/06/2010;23.4;0;9.9;27.2;19.5;1019.4;1.4;63;2966;NE
05/06/2010;22.6;0;11.6;28.1;21.4;1017.6;1.2;62;2462;NE
06/06/2010;18.1;4.6;15.7;22.1;18.1;1013.5;3.4;78;1899;SO
07/06/2010;8.9;0;11.7;22;16.9;1012.6;3.4;69;2321;SO
08/06/2010;12.8;3.2;14.7;22.5;17.9;1004.8;3.5;75;1369;SO
09/06/2010;11;5.6;14.8;19.1;16.1;1004.4;1.5;93;828;SE
10/06/2010;16.1;3.2;14.1;23.4;18.1;1002.4;2.9;91;1109;SE
11/06/2010;13.2;17.8;15.8;25.6;20.1;1007.7;3.2;72;2645;SO
12/06/2010;22.2;0;13.7;20.3;15.6;1013.6;3.4;81;1617;NO
13/06/2010;13.8;0;6.4;18.9;13.4;1015.8;1.7;75;2167;NE
14/06/2010;17;2.4;10;18.7;14.6;1014.1;2.4;86;1348;NE
15/06/2010;27.2;0;12.9;19.9;15.3;1020.5;6.6;75;2442;NE
16/06/2010;24.8;0;8.8;21.2;15.6;1018;7.1;66;3076;NE
17/06/2010;21.6;0;12.2;19.5;15.6;1016.3;4.4;72;1275;NE
18/06/2010;23.6;0;12.2;20;14.8;1016.5;4.5;78;1545;NE
19/06/2010;14;0.6;10.7;16.2;11.8;1014.1;4;72;1673;NO
20/06/2010;10.9;0.2;7;14.5;11.3;1018.9;4.2;75;1187;NO
21/06/2010;14.3;0;8.5;17.6;13.1;1023.1;2.4;74;1607;NO
22/06/2010;17;0;8;22.3;15.9;1024;2.2;70;3006;NE
23/06/2010;19.9;0;10.4;25.1;18.3;1022.2;1.8;66;2793;NE
24/06/2010;18.2;0;10.9;27.3;19.6;1019.3;1.9;62;2844;NO
25/06/2010;21.5;0;10.6;26.4;19.6;1016.8;1.4;65;2832;NE
26/06/2010;24;0;12.8;28.4;21.3;1015.9;1.8;65;2606;NE
27/06/2010;24.7;0;14.7;29.8;22.9;1017.7;1.7;60;2796;NE
28/06/2010;26;0.2;15.9;30;22.9;1019.6;2;62;2379;NO
29/06/2010;17.2;0;16;28.7;21.7;1020.7;2.1;51;2797;NO
30/06/2010;25.3;0;12.1;29.8;22.1;1019.6;1.5;56;2851;SO
01/07/2010;25;0;14.8;32.6;24.8;1014.1;2.6;57;2461;SO
02/07/2010;25.7;9.6;20.5;34.4;25.1;1013;2.7;66;2236;SO
03/07/2010;18.5;8.6;17.2;21.4;18.7;1019.3;2.2;87;749;NO
04/07/2010;12.5;0;12.2;25.8;19.4;1022.2;2.5;62;3056;SO
05/07/2010;13.5;0;12.4;24.1;18.1;1022.4;2.9;72;1756;NO
06/07/2010;18.5;0;10.2;24;17.6;1024.7;1.6;66;2604;NO
07/07/2010;25.4;0;10.6;28.2;20.8;1021.1;1.4;58;2856;SE
08/07/2010;33;0;12.9;32.2;24.1;1018;1.4;54;2843;SE
09/07/2010;27.8;0;18.9;32.9;26;1016.9;2.4;58;2045;SE
10/07/2010;15.3;0;16.7;27.7;22.7;1018;1.8;68;1581;NO
11/07/2010;19.5;1.2;18.9;31.4;24.9;1015.4;3.3;61;2647;SO
12/07/2010;14.4;6;18.4;26.9;21.1;1012.5;2.9;76;1394;SO
13/07/2010;15.6;0;17.5;27.9;22.3;1010;3.6;62;1992;SO
14/07/2010;11;36.6;14.9;23.2;18.7;1007;4.1;78;1109;SO
15/07/2010;16.3;0;14.8;24.2;19.2;1012.6;6.3;58;2466;SO
16/07/2010;12.6;0;15.6;23.6;18.8;1015;5;69;1513;SO
17/07/2010;12.2;0;14.3;22.8;17.4;1022.5;3.9;63;2326;SO
18/07/2010;12.6;0;7.5;24.3;17.1;1026.8;1.1;59;2906;NE
19/07/2010;18.9;0;10.7;28.1;20.6;1021;1.3;58;2797;NE
20/07/2010;28.2;0;13.4;32;23.4;1011.3;1.4;58;;
21/07/2010;21.7;0;16.2;23;19;1009;2.6;76;;
22/07/2010;16.3;1.6;13.4;24.6;19.2;1013.7;2.9;66;;SO
23/07/2010;13.5;0;14.4;22.4;17.5;1019.2;2;78;;NO
24/07/2010;19;0;11.7;22.7;17.3;1023.1;1.3;74;;SO
25/07/2010;11.1;0;14.6;20.9;17.4;1018.3;1.9;76;;SO
26/07/2010;12.1;0;14.4;23;18.6;1016.5;2.3;82;;NO
27/07/2010;18.8;2;15.5;24;19.2;1018.8;1.9;85;;NO
28/07/2010;;0;17.4;25.8;20.5;1017.3;3.8;68;;NO
