Date;PM10_ROT;RR_StQ;TN_StQ;TX_StQ;TM_StQ;PMERM_StQ;FFM_StQ;UM_StQ;GLOT_StQ;DXY_StQ_cat
01/01/2010;23;0;-0.6;0.3;-0.8;1002.3;4.6;85;72;NE
02/01/2010;19;0;-4;1;-1.1;1017.7;3;97;253;NO
03/01/2010;26;0;-3.3;0.3;-2.2;1021.6;3.5;88;303;NE
04/01/2010;36;0;-7.9;-3;-5.2;1018.7;1.3;88;319;NE
05/01/2010;42;0;-5.2;-0.1;-3.3;1007.6;1.4;88;578;SE
06/01/2010;46;0;-6.8;-3.8;-5.2;1004.4;2.5;89;213;SE
07/01/2010;60;0;-7.5;-2.1;-5.5;1010.5;1.9;85;554;NE
08/01/2010;56;0;-8.8;-2.6;-5.3;1017.4;6.8;85;221;NE
09/01/2010;24;0;-4;-1.2;-2.3;1014.8;7.2;84;104;NE
10/01/2010;33;0;-1.6;-0.7;-1.3;1015.3;2.7;87;163;NE
11/01/2010;56;0;-1.7;-0.2;-1.1;1018.9;1.2;88;131;NE
12/01/2010;62;0.7;-1.9;-0.2;-1.3;1010.8;3.7;90;146;SE
13/01/2010;43;1.2;-2.3;1.8;-0.1;1002.3;3.4;98;176;SE
14/01/2010;25;0;0.7;4;1.5;1006.3;4.5;99;323;SE
15/01/2010;34;0;-0.7;2.1;1;1021.4;2.2;98;133;SE
16/01/2010;20;11.6;0.8;7.4;2.4;1013;5.7;98;92;SE
17/01/2010;17;0.2;2.7;8.5;5.3;1018.2;5.2;93;468;NO
18/01/2010;18;0;0.5;3.7;2.5;1027.4;;100;152;
19/01/2010;15;0.2;0.9;2.2;1.4;1022.8;;100;197;
20/01/2010;20;3.4;-0.3;0.9;0.3;1013;;100;87;
21/01/2010;32;0.4;0.2;3.4;1.7;1020.9;1.7;100;148;SO
22/01/2010;29;0;0.4;5.4;2.5;1023.1;3.3;97;185;SE
23/01/2010;29;3;1.1;3;1.9;1021.6;4;97;170;SE
24/01/2010;39;0;1.1;3.8;2.4;1023.4;1.6;100;85;NO
25/01/2010;40;0;0.1;4.8;1.4;1029.9;2.4;96;266;NE
26/01/2010;82;0;-2.6;-0.9;-2;1037.2;5.2;83;348;NE
27/01/2010;83;1;-6.5;2.7;-2.3;1029.5;3.9;83;504;SO
28/01/2010;22;2.4;0.1;3.8;2.2;1011.3;4;96;309;NO
29/01/2010;12;5.4;1.5;4.3;2.4;992.3;5.9;94;106;NO
30/01/2010;14;0;-1.4;1.9;-0.3;999.2;4.2;86;554;NO
31/01/2010;24;1;-4.6;2.9;-0.6;1007.6;3.2;88;712;SO
01/02/2010;17;0.4;-1.4;2.6;-0.3;1014;3.7;91;867;NO
02/02/2010;16;13;-4;6.4;2.7;1011.2;7;96;107;SO
03/02/2010;11;5.4;4.6;7.1;5.7;1010.9;3.8;98;170;SO
04/02/2010;27;2.6;5.1;9.7;6.2;1009.8;4.3;88;525;SE
05/02/2010;21;4;3.8;9.5;5.9;1005.1;3.8;93;341;SO
06/02/2010;16;1.2;1.9;6.6;4.3;1012.7;4.3;94;306;SE
07/02/2010;49;0;1.2;4;3;1020.4;;93;262;
08/02/2010;54;0.6;0.9;3.7;1.7;1008.8;;91;196;
09/02/2010;52;0;-3.8;-1.7;-2.4;1007.6;;82;198;
10/02/2010;31;1.4;-5.1;-0.5;-3.6;1011.4;3.4;87;602;NE
11/02/2010;36;0;-5.4;-1.6;-3.1;1014.7;7.3;81;348;NE
12/02/2010;36;0;-5.5;-2.3;-4;1019.5;5.3;85;911;NE
13/02/2010;32;0;-5.2;-2.2;-3.2;1019.4;4.1;83;245;NE
14/02/2010;27;0;-6.2;1.2;-1.5;1015.2;2.9;86;637;NO
15/02/2010;31;0;-1;0.4;-0.8;1007.6;2.6;92;357;
16/02/2010;43;0;-3;3.2;-0.6;999.9;4.2;78;1044;SE
17/02/2010;59;1.4;-2.5;2.9;0.8;992.2;2.9;93;377;
18/02/2010;42;0;0.9;8.4;4;995;4.9;92;473;SO
19/02/2010;23;0;1;5.7;2.6;995.7;4.1;87;452;NO
20/02/2010;21;6.2;-0.9;5.9;1.6;999.9;3.4;91;839;SO
21/02/2010;16;0.2;0.2;6.6;2.6;997.9;3.8;94;522;SO
22/02/2010;15;11.8;1.5;11.8;8.2;988;6.8;85;396;SO
23/02/2010;15;6.2;5.4;9;7.6;992.3;2.3;99;223;SO
24/02/2010;14;3.8;3.3;11.5;7.8;995.9;6.4;91;622;SE
25/02/2010;13;8.8;7.5;10.3;9;992.2;6.7;91;399;SO
26/02/2010;13;1.6;6.2;9;7;994.5;8.1;79;645;SO
27/02/2010;32;11;3.2;13.2;7.6;997.8;5.3;76;880;SO
28/02/2010;7;7.4;5.2;11.6;6.7;988.4;9.8;93;182;
01/03/2010;21;0;2.5;8.8;5.4;1012.3;2.4;81;1080;SO
