Date;PM10_SAL;RR_Ami;TN_Ami;TX_Ami;TM_Ami;PMERM_Ami;FFM_Ami;UM_Ami;GLOT_Ami;DXY_ami_cat
01/01/2010;23;0;-1.1;1.8;-0.1;1003.2;4.2;80;250;NE
02/01/2010;17.8;0.4;-3;2.4;0;1017.5;3;89;274;SO
03/01/2010;25.5;0;-3.4;0.4;-1.6;1021.8;3;84;382;NE
04/01/2010;41.9;0;-8.6;-2.5;-5.5;1018.8;1;89;274;NE
05/01/2010;39.9;0;-6.9;1;-3.3;1007.4;1.5;87;748;SE
06/01/2010;47.5;0;-7;-2.8;-4.9;1004;2.4;90;178;SE
07/01/2010;68.1;0;-9.4;-1.2;-5.4;1010.5;1;86;496;SE
08/01/2010;57.3;0;-8.2;-2.3;-5.3;1018.6;5.5;86;214;NE
09/01/2010;23.8;0;-5.4;-0.7;-2;1016.3;7.8;80;94;NE
10/01/2010;33.8;0;-1.3;-0.6;-1.2;1015.7;2.8;87;89;NE
11/01/2010;59.2;0;-2.2;-0.1;-1.1;1019;0.9;88;166;NE
12/01/2010;62;0.6;-1.3;0;-0.8;1010.3;3.6;87;169;SE
13/01/2010;49.4;1.6;-2.1;2.1;-0.1;1001.8;2.4;96;153;SE
14/01/2010;25.7;0;-0.4;2;0.9;1005.9;2.5;99;179;SE
15/01/2010;28.8;0;-0.9;3.3;1.5;1021;2.2;96;218;SE
16/01/2010;16.5;8;1.5;8.3;3.2;1011.7;4.2;94;60;SE
17/01/2010;20.8;0;4.1;9.3;6;1018.4;4.3;86;482;NO
18/01/2010;22.4;0;1.2;6.3;3.8;1027;2.5;99;298;SE
19/01/2010;12;0;-0.4;2.4;1.2;1022.6;3;99;217;SE
20/01/2010;16;2.2;-0.1;1.6;0.6;1012.5;3.9;96;71;SE
21/01/2010;36.8;0;1.1;4.6;2.4;1020.8;1.6;94;171;NO
22/01/2010;25.1;0.4;0.6;6.8;4.1;1022.1;3.3;91;280;SE
23/01/2010;25.5;9.7;2.5;3.7;3.2;1021;2.3;94;136;SE
24/01/2010;31.5;0.4;2.5;5.6;3.4;1023.5;1.5;97;99;NO
25/01/2010;44.7;0;0.3;4.1;1.3;1030.3;1.8;94;134;NE
26/01/2010;84.5;0;-2.6;-0.6;-1.9;1037.8;4.8;83;241;NE
27/01/2010;74.3;0.4;-6.8;5;-1.5;1029.7;2.9;79;474;SO
28/01/2010;21.2;1;1.1;5.2;4;1011.7;3.2;89;249;NO
29/01/2010;8.9;3.2;2.4;5.3;3;992.7;5.1;89;154;NO
30/01/2010;17.4;0.2;-1.3;1.7;-0.4;999.9;2.8;82;513;NO
31/01/2010;20.1;0.8;-3.4;3.9;0.1;1007.5;2.9;81;721;SO
01/02/2010;15.5;0.2;-0.4;4.2;1.2;1014.2;3.4;83;830;NO
02/02/2010;12.5;7;-1.3;7.1;4;1010.7;6;90;165;SO
03/02/2010;12.9;2.2;4.9;7.9;6.1;1010.7;3.5;93;189;SO
